date,geo,country,pca_raw,wage_pressure_index,wage_pressure_ma3m,wage_pressure_ma12m
2007-12-01,DE,Germany,-1.2131,42.1425,41.7618,39.924
2008-01-01,DE,Germany,-1.2007,42.3318,42.0848,40.3349
2008-02-01,DE,Germany,-1.1893,42.5062,42.3268,40.7024
2008-03-01,DE,Germany,-1.1877,42.5294,42.4558,41.0014
2008-04-01,DE,Germany,-1.1614,42.9316,42.6557,41.2502
2008-05-01,DE,Germany,-1.0731,44.2814,43.2475,41.6218
2008-06-01,DE,Germany,-0.9821,45.673,44.2953,42.1639
2008-07-01,DE,Germany,-0.9422,46.2827,45.4124,42.7476
2008-08-01,DE,Germany,-0.9446,46.2466,46.0674,43.254
2008-09-01,DE,Germany,-0.9688,45.8772,46.1355,43.6621
2008-10-01,DE,Germany,-1.0176,45.131,45.7516,43.9761
2008-11-01,DE,Germany,-1.0848,44.1036,45.0372,44.1697
2008-12-01,DE,Germany,-1.1447,43.1882,44.1409,44.2569
2009-01-01,DE,Germany,-1.1613,42.9339,43.4086,44.3071
2009-02-01,DE,Germany,-1.1343,43.3467,43.1563,44.3771
2009-03-01,DE,Germany,-1.1137,43.6622,43.3143,44.4715
2009-04-01,DE,Germany,-1.1462,43.1644,43.3911,44.4909
2009-05-01,DE,Germany,-1.2339,41.8235,42.8834,44.2861
2009-06-01,DE,Germany,-1.3485,40.0712,41.6864,43.8193
2009-07-01,DE,Germany,-1.4382,38.7008,40.1985,43.1874
2009-08-01,DE,Germany,-1.4926,37.8693,38.8804,42.4893
2009-09-01,DE,Germany,-1.518,37.4809,38.017,41.7896
2009-10-01,DE,Germany,-1.482,38.0302,37.7935,41.1979
2009-11-01,DE,Germany,-1.4048,39.2111,38.2407,40.7902
2009-12-01,DE,Germany,-1.327,40.4004,39.2139,40.5579
2010-01-01,DE,Germany,-1.2831,41.0723,40.2279,40.4027
2010-02-01,DE,Germany,-1.2755,41.1877,40.8868,40.2228
2010-03-01,DE,Germany,-1.2547,41.5064,41.2555,40.0432
2010-04-01,DE,Germany,-1.2145,42.1196,41.6046,39.9561
2010-05-01,DE,Germany,-1.1589,42.9697,42.1986,40.0516
2010-06-01,DE,Germany,-1.0504,44.6295,43.2396,40.4315
2010-07-01,DE,Germany,-0.9215,46.6005,44.7332,41.0898
2010-08-01,DE,Germany,-0.8094,48.3138,46.5146,41.9602
2010-09-01,DE,Germany,-0.7181,49.7095,48.2079,42.9792
2010-10-01,DE,Germany,-0.6771,50.3361,49.4531,44.0047
2010-11-01,DE,Germany,-0.6693,50.4552,50.1669,44.9417
2010-12-01,DE,Germany,-0.6751,50.3664,50.3859,45.7722
2011-01-01,DE,Germany,-0.6902,50.1361,50.3192,46.5276
2011-02-01,DE,Germany,-0.6961,50.0463,50.1829,47.2658
2011-03-01,DE,Germany,-0.6981,50.0148,50.0657,47.9748
2011-04-01,DE,Germany,-0.6799,50.2941,50.1184,48.656
2011-05-01,DE,Germany,-0.6451,50.8252,50.378,49.3106
2011-06-01,DE,Germany,-0.6437,50.8469,50.6554,49.8287
2011-07-01,DE,Germany,-0.6634,50.5457,50.7393,50.1575
2011-08-01,DE,Germany,-0.6789,50.3089,50.5672,50.3238
2011-09-01,DE,Germany,-0.6874,50.1787,50.3444,50.3629
2011-10-01,DE,Germany,-0.6753,50.3634,50.2837,50.3651
2011-11-01,DE,Germany,-0.6534,50.6989,50.4137,50.3855
2011-12-01,DE,Germany,-0.6217,51.1828,50.7484,50.4535
2012-01-01,DE,Germany,-0.5713,51.9533,51.2783,50.6049
2012-02-01,DE,Germany,-0.5273,52.626,51.9207,50.8199
2012-03-01,DE,Germany,-0.5075,52.9296,52.503,51.0628
2012-04-01,DE,Germany,-0.5144,52.8244,52.7933,51.2737
2012-05-01,DE,Germany,-0.5306,52.5762,52.7767,51.4196
2012-06-01,DE,Germany,-0.533,52.5387,52.6464,51.5606
2012-07-01,DE,Germany,-0.5232,52.6894,52.6014,51.7392
2012-08-01,DE,Germany,-0.5102,52.888,52.7053,51.9541
2012-09-01,DE,Germany,-0.5011,53.0264,52.8679,52.1914
2012-10-01,DE,Germany,-0.5006,53.034,52.9828,52.414
2012-11-01,DE,Germany,-0.5073,52.9318,52.9974,52.6
2012-12-01,DE,Germany,-0.5204,52.7314,52.8991,52.7291
2013-01-01,DE,Germany,-0.5412,52.4143,52.6925,52.7675
2013-02-01,DE,Germany,-0.5439,52.3733,52.5063,52.7465
2013-03-01,DE,Germany,-0.5151,52.813,52.5335,52.7367
2013-04-01,DE,Germany,-0.4797,53.3542,52.8468,52.7809
2013-05-01,DE,Germany,-0.4483,53.8344,53.3338,52.8857
2013-06-01,DE,Germany,-0.425,54.1904,53.793,53.0234
2013-07-01,DE,Germany,-0.4111,54.403,54.1426,53.1662
2013-08-01,DE,Germany,-0.3913,54.7055,54.433,53.3176
2013-09-01,DE,Germany,-0.3641,55.1209,54.7431,53.4922
2013-10-01,DE,Germany,-0.3374,55.5291,55.1185,53.7001
2013-11-01,DE,Germany,-0.309,55.9645,55.5382,53.9528
2013-12-01,DE,Germany,-0.2877,56.2899,55.9278,54.2494
2014-01-01,DE,Germany,-0.2721,56.5285,56.261,54.5922
2014-02-01,DE,Germany,-0.2673,56.6019,56.4734,54.9446
2014-03-01,DE,Germany,-0.27,56.5606,56.5637,55.2569
2014-04-01,DE,Germany,-0.2551,56.7882,56.6502,55.5431
2014-05-01,DE,Germany,-0.2277,57.2067,56.8518,55.8241
2014-06-01,DE,Germany,-0.189,57.7985,57.2645,56.1248
2014-07-01,DE,Germany,-0.1402,58.5439,57.8497,56.4699
2014-08-01,DE,Germany,-0.1046,59.0888,58.4771,56.8351
2014-09-01,DE,Germany,-0.075,59.5416,59.0581,57.2035
2014-10-01,DE,Germany,-0.0305,60.2218,59.6174,57.5946
2014-11-01,DE,Germany,0.0377,61.2639,60.3424,58.0362
2014-12-01,DE,Germany,0.1425,62.8657,61.4505,58.5842
2015-01-01,DE,Germany,0.2696,64.8095,62.9797,59.2743
2015-02-01,DE,Germany,0.377,66.4518,64.709,60.0951
2015-03-01,DE,Germany,0.4557,67.6548,66.3053,61.0196
2015-04-01,DE,Germany,0.5167,68.5873,67.5646,62.0029
2015-05-01,DE,Germany,0.5617,69.2753,68.5058,63.0086
2015-06-01,DE,Germany,0.5821,69.5877,69.1501,63.991
2015-07-01,DE,Germany,0.5878,69.6736,69.512200000000007,64.9185
2015-08-01,DE,Germany,0.6012,69.8794,69.7136,65.8177
2015-09-01,DE,Germany,0.613,70.0601,69.871,66.6942
2015-10-01,DE,Germany,0.603,69.9065,69.9487,67.5013
2015-11-01,DE,Germany,0.5671,69.3581,69.7749,68.1758
2015-12-01,DE,Germany,0.4952,68.259,69.1745,68.6252
2016-01-01,DE,Germany,0.402,66.8332,68.1501,68.7939
2016-02-01,DE,Germany,0.3451,65.9641,67.0188,68.7533
2016-03-01,DE,Germany,0.3141,65.4895,66.0956,68.5728
2016-04-01,DE,Germany,0.2702,64.8187,65.4241,68.2588
2016-05-01,DE,Germany,0.2351,64.2823,64.8635,67.8427
2016-06-01,DE,Germany,0.2357,64.2905,64.4639,67.4013
2016-07-01,DE,Germany,0.2532,64.5581,64.377,66.975
2016-08-01,DE,Germany,0.2618,64.6899,64.5129,66.5425
2016-09-01,DE,Germany,0.2757,64.9032,64.7171,66.1128
2016-10-01,DE,Germany,0.3017,65.2996,64.9642,65.7289
2016-11-01,DE,Germany,0.3253,65.6605,65.2878,65.4207
2016-12-01,DE,Germany,0.3676,66.3074,65.7559,65.2581
2017-01-01,DE,Germany,0.4329,67.3057,66.4245,65.2975
2017-02-01,DE,Germany,0.4797,68.0211,67.2114,65.4689
2017-03-01,DE,Germany,0.5115,68.5076,67.9448,65.7204
2017-04-01,DE,Germany,0.5583,69.2237,68.5841,66.0875
2017-05-01,DE,Germany,0.6053,69.9417,69.2243,66.5591
2017-06-01,DE,Germany,0.6276,70.2832,69.8162,67.0585
2017-07-01,DE,Germany,0.6375,70.4341,70.2197,67.5482
2017-08-01,DE,Germany,0.6544,70.6922,70.4698,68.0483
2017-09-01,DE,Germany,0.6682,70.9039,70.6767,68.5484
2017-10-01,DE,Germany,0.6858,71.1721,70.9227,69.0378
2017-11-01,DE,Germany,0.7087,71.522,71.1993,69.5262
2017-12-01,DE,Germany,0.7054,71.4717,71.3886,69.9566
2018-01-01,DE,Germany,0.6641,70.8406,71.2781,70.2512
2018-02-01,DE,Germany,0.6226,70.2058,70.8394,70.4332
2018-03-01,DE,Germany,0.6101,70.0149,70.3537,70.5588
2018-04-01,DE,Germany,0.6161,70.107,70.1092,70.6324
2018-05-01,DE,Germany,0.6261,70.2601,70.1273,70.659
2018-06-01,DE,Germany,0.6406,70.4813,70.2828,70.6755
2018-07-01,DE,Germany,0.654,70.6864,70.4759,70.6965
2018-08-01,DE,Germany,0.6707,70.9409,70.7028,70.7172
2018-09-01,DE,Germany,0.6927,71.2776,70.9683,70.7484
2018-10-01,DE,Germany,0.7149,71.617,71.2785,70.7854
2018-11-01,DE,Germany,0.7468,72.1055,71.6667,70.8341
2018-12-01,DE,Germany,0.8032,72.9676,72.23,70.9587
2019-01-01,DE,Germany,0.8823,74.177,73.0834,71.2367
2019-02-01,DE,Germany,0.9671,75.4733,74.206,71.6757
2019-03-01,DE,Germany,1.0457,76.675,75.4418,72.2307
2019-04-01,DE,Germany,1.1116,77.6815,76.6099,72.8619
2019-05-01,DE,Germany,1.1596,78.4158,77.5908,73.5416
2019-06-01,DE,Germany,1.1987,79.0134,78.3702,74.2526
2019-07-01,DE,Germany,1.2401,79.6472,79.0255,74.9993
2019-08-01,DE,Germany,1.2752,80.1831,79.6146,75.7695
2019-09-01,DE,Germany,1.2971,80.5188,80.1164,76.5396
2019-10-01,DE,Germany,1.3037,80.6196,80.4405,77.2898
2019-11-01,DE,Germany,1.302,80.5935,80.5773,77.9972
2019-12-01,DE,Germany,1.3051,80.6407,80.6179,78.6366
2020-01-01,DE,Germany,1.312,80.7456,80.6599,79.184
2020-02-01,DE,Germany,1.308,80.6846,80.6903,79.6182
2020-03-01,DE,Germany,1.2527,79.8385,80.4229,79.8819
2020-04-01,DE,Germany,1.1623000000000001,78.4569,79.66,79.9465
2020-05-01,DE,Germany,1.1012,77.523,78.6062,79.8721
2020-06-01,DE,Germany,1.0704,77.0517,77.6772,79.7086
2020-07-01,DE,Germany,1.0448,76.6606,77.0784,79.4597
2020-08-01,DE,Germany,1.017,76.2364,76.6495,79.1308
2020-09-01,DE,Germany,0.9905,75.8313,76.2427,78.7402
2020-10-01,DE,Germany,0.9789,75.6528,75.9068,78.3263
2020-11-01,DE,Germany,0.9727,75.5582,75.6808,77.9067
2020-12-01,DE,Germany,0.9554,75.2942,75.5017,77.4612
2021-01-01,DE,Germany,0.9371,75.0143,75.2889,76.9835
2021-02-01,DE,Germany,0.9358,74.9944,75.101,76.5094
2021-03-01,DE,Germany,0.9911,75.84,75.2829,76.1761
2021-04-01,DE,Germany,1.0846,77.2697,76.0347,76.0772
2021-05-01,DE,Germany,1.1344,78.0304,77.0467,76.1195
2021-06-01,DE,Germany,1.1434,78.1686,77.8229,76.2126
2021-07-01,DE,Germany,1.1533,78.3197,78.1729,76.3508
2021-08-01,DE,Germany,1.1821,78.7604,78.4163,76.5612
2021-09-01,DE,Germany,1.2368,79.5964,78.8922,76.8749
2021-10-01,DE,Germany,1.3062,80.6566,79.6712,77.2919
2021-11-01,DE,Germany,1.389,81.9228,80.7253,77.8223
2021-12-01,DE,Germany,1.4873,83.4258,82.0017,78.4999
2022-01-01,DE,Germany,1.5885,84.9725,83.4404,79.3298
2022-02-01,DE,Germany,1.6904,86.531,84.9764,80.2912
2022-03-01,DE,Germany,1.79,88.0542,86.5192,81.309
2022-04-01,DE,Germany,1.8865,89.5287,88.038,82.3306
2022-05-01,DE,Germany,2.0102,91.4198,89.6676,83.4464
2022-06-01,DE,Germany,2.1603,93.7155,91.5547,84.742
2022-07-01,DE,Germany,2.3025,95.8894,93.6749,86.2061
2022-08-01,DE,Germany,2.4198,97.6824,95.7624,87.7829
2022-09-01,DE,Germany,2.5027,98.9494,97.507,89.3957
2022-10-01,DE,Germany,2.542,99.5497,98.7272,90.9701
2022-11-01,DE,Germany,2.5453,99.6009,99.3666,92.4433
2022-12-01,DE,Germany,2.5064,99.0056,99.3854,93.7416
2023-01-01,DE,Germany,2.417,97.64,98.7488,94.7972
2023-02-01,DE,Germany,2.29,95.6977,97.4478,95.5611
2023-03-01,DE,Germany,2.1214,93.1194,95.4857,95.9832
2023-04-01,DE,Germany,1.9528,90.5422,93.1198,96.0677
2023-05-01,DE,Germany,1.8434,88.8703,90.844,95.8552
2023-06-01,DE,Germany,1.7563,87.538,88.9835,95.3404
2023-07-01,DE,Germany,1.6574,86.026,87.4781,94.5185
2023-08-01,DE,Germany,1.5614,84.559,86.041,93.4249
2023-09-01,DE,Germany,1.4864,83.4125,84.6658,92.1301
2023-10-01,DE,Germany,1.4232,82.4465,83.4727,90.7048
2023-11-01,DE,Germany,1.3557,81.414,82.4243,89.1893
2023-12-01,DE,Germany,1.3226,80.908,81.5895,87.6811
2024-01-01,DE,Germany,1.3752,81.7115,81.3445,86.3538
2024-02-01,DE,Germany,1.4809,83.3279,81.9825,85.3229
2024-03-01,DE,Germany,1.6223,85.4892,83.5095,84.6871
2024-04-01,DE,Germany,1.7497,87.4372,85.4181,84.4283
2024-05-01,DE,Germany,1.7834,87.9529,86.9598,84.3519
2024-06-01,DE,Germany,1.7681,87.7186,87.7029,84.3669
2024-07-01,DE,Germany,1.7743,87.813,87.8282,84.5159
2024-08-01,DE,Germany,1.7992,88.194,87.9085,84.8188
2024-09-01,DE,Germany,1.8142,88.4243,88.1438,85.2364
2024-10-01,DE,Germany,1.8412,88.8361,88.4848,85.7689
2024-11-01,DE,Germany,1.8944,89.6495,88.9699,86.4552
2024-12-01,DE,Germany,1.942,90.3781,89.6212,87.2444
2025-01-01,DE,Germany,1.9527,90.5406,90.1894,87.9801
2025-02-01,DE,Germany,1.9335,90.2472,90.3886,88.5567
2025-03-01,DE,Germany,1.8738,89.3347,90.0408,88.8772
2025-04-01,DE,Germany,1.8101,88.3614,89.3144,88.9542
2025-05-01,DE,Germany,1.7907,88.0648,88.587,88.9635
2025-06-01,DE,Germany,1.8155,88.4438,88.29,89.024
2025-07-01,DE,Germany,1.859,89.1082,88.539,89.1319
2025-08-01,DE,Germany,1.8767,89.3789,88.977,89.2306
2025-09-01,DE,Germany,1.8992,89.7238,89.4036,89.3389
2025-10-01,DE,Germany,1.9647,90.7247,89.9425,89.4963
2025-11-01,DE,Germany,2.0491,92.0151,90.8212,89.6935
2025-12-01,DE,Germany,2.1339,93.3106,92.0168,89.9378
2026-01-01,DE,Germany,2.2009,94.3352,93.2203,90.254
2026-02-01,DE,Germany,2.2639,95.298,94.3146,90.6749
2026-03-01,DE,Germany,2.3817,97.1,95.5777,91.322
2026-04-01,DE,Germany,2.5144,99.1289,97.1756,92.2193
2026-05-01,DE,Germany,2.5714,100,98.743,93.2139
2026-06-01,DE,Germany,2.5521,99.7046,99.6112,94.1523
2026-07-01,DE,Germany,2.4961,98.8491,99.5179,94.9641
2026-08-01,DE,Germany,2.4841,98.6653,99.073,95.7379
2004-01-01,ES,Spain,-1.2506,9.7547,9.7547,9.7547
2004-02-01,ES,Spain,-1.2515,9.7365,9.7456,9.7456
2004-03-01,ES,Spain,-1.2042,10.619,10.0367,10.0367
2004-04-01,ES,Spain,-1.1325,11.9567,10.7707,10.5167
2004-05-01,ES,Spain,-1.0033,14.3681,12.3146,11.287
2004-06-01,ES,Spain,-1.0413,13.6588,13.3279,11.6823
2004-07-01,ES,Spain,-1.1039,12.4905,13.5058,11.7978
2004-08-01,ES,Spain,-1.1151,12.2816,12.8103,11.8582
2004-09-01,ES,Spain,-1.095,12.6558,12.4759,11.9468
2004-10-01,ES,Spain,-1.0797,12.942,12.6264,12.0464
2004-11-01,ES,Spain,-1.0933,12.689,12.7623,12.1048
2004-12-01,ES,Spain,-1.1359,11.8945,12.5085,12.0873
2005-01-01,ES,Spain,-1.1237,12.1216,12.235,12.2845
2005-02-01,ES,Spain,-1.1139,12.3034,12.1065,12.4984
2005-03-01,ES,Spain,-1.2199,10.326,11.5837,12.474
2005-04-01,ES,Spain,-1.4327,6.3559,9.6618,12.0073
2005-05-01,ES,Spain,-1.6251,2.7665,6.4828,11.0405
2005-06-01,ES,Spain,-1.6266,2.7392,3.9539,10.1305
2005-07-01,ES,Spain,-1.5758,3.6871,3.0643,9.3969
2005-08-01,ES,Spain,-1.5619,3.9462,3.4575,8.7023
2005-09-01,ES,Spain,-1.5684,3.8256,3.8196,7.9664
2005-10-01,ES,Spain,-1.5824,3.5637,3.7785,7.1849
2005-11-01,ES,Spain,-1.5805,3.6001,3.6631,6.4275
2005-12-01,ES,Spain,-1.6014,3.2092,3.4576,5.7037
2006-01-01,ES,Spain,-1.7074,1.2321,2.6805,4.7962
2006-02-01,ES,Spain,-1.7734,0,1.4804,3.771
2006-03-01,ES,Spain,-1.6886,1.5834,0.9385,3.0424
2006-04-01,ES,Spain,-1.4901,5.2867,2.29,2.9533
2006-05-01,ES,Spain,-1.365,7.6203,4.8301,3.3578
2006-06-01,ES,Spain,-1.3913,7.1284,6.6785,3.7236
2006-07-01,ES,Spain,-1.4357,6.3003,7.0163,3.9413
2006-08-01,ES,Spain,-1.4773,5.5246,6.3177,4.0729
2006-09-01,ES,Spain,-1.5478,4.2099,5.3449,4.1049
2006-10-01,ES,Spain,-1.5942,3.3437,4.3594,4.0866
2006-11-01,ES,Spain,-1.6022,3.1942,3.5826,4.0527
2006-12-01,ES,Spain,-1.4961,5.1734,3.9038,4.2164
2007-01-01,ES,Spain,-1.3372,8.139,5.5022,4.792
2007-02-01,ES,Spain,-1.3031,8.7739,7.3621,5.5231
2007-03-01,ES,Spain,-1.3362,8.1569,8.3566,6.0709
2007-04-01,ES,Spain,-1.3669,7.5835,8.1714,6.2623
2007-05-01,ES,Spain,-1.3642,7.6354,7.792,6.2636
2007-06-01,ES,Spain,-1.3593,7.7256,7.6482,6.3134
2007-07-01,ES,Spain,-1.3894,7.1651,7.5087,6.3854
2007-08-01,ES,Spain,-1.3894,7.1642,7.3517,6.5221
2007-09-01,ES,Spain,-1.3439,8.0141,7.4478,6.8391
2007-10-01,ES,Spain,-1.3156,8.5412,7.9065,7.2722
2007-11-01,ES,Spain,-1.3185,8.4881,8.3478,7.7134
2007-12-01,ES,Spain,-1.3555,7.796,8.2751,7.9319
2008-01-01,ES,Spain,-1.3641,7.6368,7.9736,7.8901
2008-02-01,ES,Spain,-1.2749,9.2998,8.2442,7.9339
2008-03-01,ES,Spain,-1.1832,11.0114,9.316,8.1718
2008-04-01,ES,Spain,-1.1529,11.5761,10.6291,8.5045
2008-05-01,ES,Spain,-1.1664,11.3243,11.3039,8.8119
2008-06-01,ES,Spain,-1.1527,11.5797,11.4933,9.1331
2008-07-01,ES,Spain,-1.1138,12.3065,11.7368,9.5615
2008-08-01,ES,Spain,-1.1053,12.4648,12.117,10.0032
2008-09-01,ES,Spain,-1.1148,12.2871,12.3528,10.3593
2008-10-01,ES,Spain,-1.1279,12.0431,12.265,10.6511
2008-11-01,ES,Spain,-1.1442,11.7393,12.0231,10.9221
2008-12-01,ES,Spain,-1.1924,10.8387,11.5403,11.1756
2009-01-01,ES,Spain,-1.2731,9.3346,10.6375,11.3171
2009-02-01,ES,Spain,-1.3381,8.1224,9.4319,11.219
2009-03-01,ES,Spain,-1.3859,7.2295,8.2288,10.9038
2009-04-01,ES,Spain,-1.3998,6.9701,7.4407,10.52
2009-05-01,ES,Spain,-1.3809,7.3238,7.1745,10.1866
2009-06-01,ES,Spain,-1.3711,7.5057,7.2665,9.8471
2009-07-01,ES,Spain,-1.3593,7.726,7.5185,9.4654
2009-08-01,ES,Spain,-1.3278,8.3129,7.8482,9.1194
2009-09-01,ES,Spain,-1.2932,8.9594,8.3328,8.8421
2009-10-01,ES,Spain,-1.2566,9.6414,8.9712,8.642
2009-11-01,ES,Spain,-1.216,10.3999,9.6669,8.5304
2009-12-01,ES,Spain,-1.1767,11.133,10.3914,8.5549
2010-01-01,ES,Spain,-1.1605,11.4338,10.9889,8.7298
2010-02-01,ES,Spain,-1.1593,11.4575,11.3414,9.0077
2010-03-01,ES,Spain,-1.16,11.4444,11.4452,9.359
2010-04-01,ES,Spain,-1.1566,11.5075,11.4698,9.7371
2010-05-01,ES,Spain,-1.1454,11.7165,11.5561,10.1032
2010-06-01,ES,Spain,-1.1346,11.9181,11.7141,10.4709
2010-07-01,ES,Spain,-1.1401,11.815,11.8165,10.8116
2010-08-01,ES,Spain,-1.1639,11.3719,11.7017,11.0665
2010-09-01,ES,Spain,-1.2036,10.6302,11.2724,11.2058
2010-10-01,ES,Spain,-1.2356,10.0332,10.6784,11.2384
2010-11-01,ES,Spain,-1.2662,9.4631,10.0422,11.1604
2010-12-01,ES,Spain,-1.3015,8.8045,9.4336,10.9663
2011-01-01,ES,Spain,-1.3222,8.4186,8.8954,10.715
2011-02-01,ES,Spain,-1.3458,7.9771,8.4001,10.425
2011-03-01,ES,Spain,-1.3417,8.0551,8.1503,10.1426
2011-04-01,ES,Spain,-1.3291,8.2892,8.1071,9.8744
2011-05-01,ES,Spain,-1.3445,8.0023,8.1155,9.5649
2011-06-01,ES,Spain,-1.3575,7.7594,8.0169,9.2183
2011-07-01,ES,Spain,-1.3663,7.5962,7.786,8.8667
2011-08-01,ES,Spain,-1.3771,7.3937,7.5831,8.5352
2011-09-01,ES,Spain,-1.3737,7.4567,7.4822,8.2707
2011-10-01,ES,Spain,-1.374,7.4516,7.434,8.0556
2011-11-01,ES,Spain,-1.3698,7.5308,7.4797,7.8946
2011-12-01,ES,Spain,-1.3407,8.0726,7.685,7.8336
2012-01-01,ES,Spain,-1.2964,8.899,8.1675,7.8736
2012-02-01,ES,Spain,-1.2659,9.469,8.8135,7.9979
2012-03-01,ES,Spain,-1.2897,9.0245,9.1308,8.0787
2012-04-01,ES,Spain,-1.3345,8.1886,8.894,8.0703
2012-05-01,ES,Spain,-1.3555,7.7962,8.3364,8.0532
2012-06-01,ES,Spain,-1.3666,7.5905,7.8584,8.0391
2012-07-01,ES,Spain,-1.354,7.8246,7.7371,8.0581
2012-08-01,ES,Spain,-1.3224,8.4137,7.9429,8.1431
2012-09-01,ES,Spain,-1.3075,8.6927,8.3104,8.2461
2012-10-01,ES,Spain,-1.304,8.7582,8.6215,8.355
2012-11-01,ES,Spain,-1.3087,8.6696,8.7068,8.4499
2012-12-01,ES,Spain,-1.332,8.2362,8.5547,8.4636
2013-01-01,ES,Spain,-1.3741,7.4502,8.1187,8.3428
2013-02-01,ES,Spain,-1.4103,6.7751,7.4872,8.1183
2013-03-01,ES,Spain,-1.4138,6.7085,6.9779,7.9253
2013-04-01,ES,Spain,-1.3958,7.0454,6.843,7.8301
2013-05-01,ES,Spain,-1.382,7.3016,7.0185,7.7889
2013-06-01,ES,Spain,-1.3884,7.1831,7.1767,7.7549
2013-07-01,ES,Spain,-1.4193,6.6061,7.0303,7.6534
2013-08-01,ES,Spain,-1.4466,6.0975,6.6289,7.4604
2013-09-01,ES,Spain,-1.4419,6.185,6.2962,7.2514
2013-10-01,ES,Spain,-1.4218,6.5594,6.2806,7.0681
2013-11-01,ES,Spain,-1.4055,6.8638,6.5361,6.9177
2013-12-01,ES,Spain,-1.3857,7.234,6.8857,6.8341
2014-01-01,ES,Spain,-1.3695,7.5352,7.211,6.8412
2014-02-01,ES,Spain,-1.3531,7.8423,7.5371,6.9302
2014-03-01,ES,Spain,-1.33,8.273,7.8835,7.0605
2014-04-01,ES,Spain,-1.3122,8.605,8.2401,7.1905
2014-05-01,ES,Spain,-1.3069,8.7038,8.5272,7.3073
2014-06-01,ES,Spain,-1.288,9.0568,8.7885,7.4635
2014-07-01,ES,Spain,-1.2553,9.6659,9.1422,7.7185
2014-08-01,ES,Spain,-1.2348,10.0478,9.5902,8.0477
2014-09-01,ES,Spain,-1.2368,10.0113,9.9083,8.3665
2014-10-01,ES,Spain,-1.2501,9.7633,9.9408,8.6335
2014-11-01,ES,Spain,-1.2602,9.5739,9.7829,8.8594
2014-12-01,ES,Spain,-1.2695,9.4017,9.5796,9.04
2015-01-01,ES,Spain,-1.2601,9.5761,9.5172,9.2101
