Date,Country,Geo,Term,Interest
2005-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,34.12
2005-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,38.74
2005-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,45.52
2005-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,54.45
2005-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,62.24
2006-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,66.53
2006-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,67.81
2006-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,67.82
2006-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,69.9
2006-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,76.48
2006-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,83.2
2006-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,84.54
2006-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,82.57
2006-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,81.69
2006-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,81.71
2006-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,81.53
2006-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,82.44
2007-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,84.16
2007-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,85.79
2007-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,88.24
2007-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,91.17
2007-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,90.48
2007-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,89.04
2007-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,90.71
2007-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,93.84
2007-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,95.69
2007-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,95.86
2007-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,95.57
2007-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,95.08
2008-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,94.6
2008-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,94.52
2008-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,94.38
2008-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,94.92
2008-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,96.93
2008-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,98.27
2008-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,97.56
2008-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,95.77
2008-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,93.95
2008-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,91.94
2008-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,89.74
2008-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,87.42
2009-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,86.08
2009-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,85.96
2009-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,84.66
2009-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,80.96
2009-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,76.42
2009-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,72.12
2009-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,68.81
2009-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,66.48
2009-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,65.36
2009-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,66.53
2009-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,68.81
2009-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,71.09
2010-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,72.29
2010-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,72.43
2010-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,73.67
2010-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,75.91
2010-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,78.06
2010-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,81.43
2010-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,85.85
2010-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,90.13
2010-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,93.35
2010-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,94.41
